Response function created for file:raw_76Ge at 09-Jul-14 10:25:57
Calibration (a0,a1)=     1.0    7.000  FWHM=    5.9

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
     1.0       1.4   0.867  1.0000  0.0000  0.0000  0.0000  0.0000
   141.0      20.9   0.938  0.7979  0.2021  0.0000  0.0000  0.0000
   281.0      33.4   1.009  0.6819  0.3181  0.0000  0.0000  0.0000
   421.0      38.8   1.070  0.6225  0.3775  0.0000  0.0000  0.0000
   561.0      45.8   1.070  0.5974  0.4026  0.0000  0.0000  0.0000
   701.0      52.2   1.060  0.5679  0.4321  0.0000  0.0000  0.0000
   841.0      58.2   1.046  0.5411  0.4589  0.0000  0.0000  0.0000
   981.0      64.6   1.032  0.5242  0.4758  0.0000  0.0000  0.0000
  1121.0      70.7   1.018  0.5065  0.4935  0.0000  0.0000  0.0000
  1261.0      76.3   1.005  0.4924  0.5076  0.0000  0.0000  0.0000
  1401.0      81.5   0.995  0.4799  0.5201  0.0000  0.0000  0.0000
  1541.0      87.0   0.985  0.4652  0.5286  0.0041  0.0000  0.0022
  1681.0      92.8   0.977  0.4517  0.5377  0.0062  0.0000  0.0045
  1821.0      98.7   0.971  0.4391  0.5472  0.0071  0.0000  0.0067
  1961.0     104.6   0.966  0.4308  0.5515  0.0097  0.0000  0.0080
  2101.0     110.0   0.962  0.4200  0.5577  0.0115  0.0000  0.0108
  2241.0     115.2   0.959  0.4073  0.5655  0.0134  0.0000  0.0137
  2381.0     120.7   0.956  0.3969  0.5712  0.0164  0.0000  0.0156
  2521.0     125.8   0.956  0.3870  0.5758  0.0199  0.0000  0.0172
  2661.0     130.4   0.955  0.3772  0.5809  0.0226  0.0000  0.0193
  2801.0     134.4   0.954  0.3668  0.5872  0.0239  0.0000  0.0220
  2941.0     138.2   0.953  0.3573  0.5932  0.0258  0.0000  0.0236
  3081.0     140.6   0.954  0.3493  0.5979  0.0273  0.0000  0.0255
  3221.0     141.9   0.955  0.3418  0.6022  0.0285  0.0000  0.0275
  3361.0     142.7   0.957  0.3346  0.6062  0.0297  0.0000  0.0296
  3501.0     143.0   0.958  0.3271  0.6105  0.0308  0.0000  0.0316
  3641.0     147.6   0.961  0.3199  0.6147  0.0319  0.0000  0.0335
  3781.0     152.1   0.963  0.3128  0.6188  0.0330  0.0000  0.0354
  3921.0     156.5   0.966  0.3055  0.6231  0.0341  0.0000  0.0373
  4061.0     160.5   0.968  0.2987  0.6270  0.0349  0.0004  0.0389
  4201.0     164.1   0.970  0.2926  0.6305  0.0355  0.0015  0.0399
  4341.0     167.5   0.972  0.2865  0.6338  0.0361  0.0025  0.0410
  4481.0     170.9   0.975  0.2802  0.6375  0.0367  0.0035  0.0420
  4621.0     173.4   0.978  0.2743  0.6419  0.0371  0.0041  0.0426
  4761.0     175.6   0.981  0.2681  0.6467  0.0375  0.0045  0.0431
  4901.0     177.7   0.984  0.2620  0.6515  0.0379  0.0050  0.0436
  5041.0     180.0   0.987  0.2567  0.6555  0.0383  0.0053  0.0443
  5181.0     183.0   0.989  0.2526  0.6581  0.0387  0.0051  0.0454
  5321.0     185.9   0.992  0.2491  0.6601  0.0392  0.0050  0.0466
  5461.0     188.7   0.994  0.2453  0.6624  0.0397  0.0048  0.0478
  5601.0     192.1   0.998  0.2408  0.6635  0.0421  0.0049  0.0487
  5741.0     195.8   1.002  0.2362  0.6636  0.0454  0.0051  0.0496
  5881.0     199.4   1.006  0.2314  0.6642  0.0486  0.0054  0.0504
  6021.0     202.9   1.011  0.2268  0.6645  0.0519  0.0056  0.0512
  6161.0     206.4   1.015  0.2224  0.6645  0.0552  0.0058  0.0521
  6301.0     209.8   1.019  0.2176  0.6649  0.0585  0.0061  0.0530
  6441.0     213.2   1.023  0.2132  0.6649  0.0618  0.0063  0.0539
  6581.0     216.5   1.027  0.2086  0.6652  0.0650  0.0065  0.0547
  6721.0     219.8   1.032  0.2039  0.6656  0.0683  0.0067  0.0556
  6861.0     223.0   1.036  0.1989  0.6664  0.0714  0.0070  0.0563
 Details on efficiency up to 1000 keV:
    Egam  EffTot  EffExp  EffTot*EffExp
=======================================
     1.0   0.867   0.000   0.000
     8.0   0.870   0.000   0.000
    15.0   0.874   0.000   0.000
    22.0   0.877   0.000   0.000
    29.0   0.881   0.000   0.000
    36.0   0.884   0.000   0.000
    43.0   0.888   0.000   0.000
    50.0   0.891   0.000   0.000
    57.0   0.895   0.000   0.000
    64.0   0.899   0.000   0.000
    71.0   0.902   0.000   0.000
    78.0   0.906   0.000   0.000
    85.0   0.909   0.000   0.000
    92.0   0.913   0.000   0.000
    99.0   0.916   0.000   0.000
   106.0   0.920   0.000   0.000
   113.0   0.924   0.000   0.000
   120.0   0.927   0.000   0.000
   127.0   0.931   0.005   0.005
   134.0   0.934   0.012   0.011
   141.0   0.938   0.019   0.018
   148.0   0.941   0.026   0.024
   155.0   0.945   0.032   0.031
   162.0   0.949   0.039   0.037
   169.0   0.952   0.046   0.044
   176.0   0.956   0.053   0.051
   183.0   0.959   0.060   0.058
   190.0   0.963   0.104   0.100
   197.0   0.966   0.147   0.142
   204.0   0.970   0.191   0.185
   211.0   0.974   0.234   0.228
   218.0   0.977   0.278   0.272
   225.0   0.981   0.322   0.315
   232.0   0.984   0.365   0.360
   239.0   0.988   0.409   0.404
   246.0   0.991   0.446   0.443
   253.0   0.995   0.469   0.466
   260.0   0.999   0.491   0.491
   267.0   1.002   0.514   0.515
   274.0   1.006   0.536   0.539
   281.0   1.009   0.558   0.564
   288.0   1.013   0.581   0.588
   295.0   1.016   0.605   0.615
   302.0   1.020   0.643   0.656
   309.0   1.024   0.681   0.697
   316.0   1.027   0.719   0.738
   323.0   1.031   0.757   0.780
   330.0   1.034   0.794   0.822
   337.0   1.038   0.832   0.864
   344.0   1.041   0.870   0.906
   351.0   1.045   0.874   0.913
   358.0   1.049   0.878   0.920
   365.0   1.052   0.882   0.928
   372.0   1.056   0.885   0.935
   379.0   1.059   0.889   0.942
   386.0   1.063   0.893   0.949
   393.0   1.066   0.897   0.957
   400.0   1.070   0.901   0.964
   407.0   1.070   0.905   0.968
   414.0   1.070   0.909   0.972
   421.0   1.070   0.912   0.976
   428.0   1.070   0.916   0.980
   435.0   1.070   0.920   0.984
   442.0   1.070   0.924   0.989
   449.0   1.070   0.928   0.993
   456.0   1.070   0.932   0.997
   463.0   1.070   0.936   1.001
   470.0   1.070   0.939   1.005
   477.0   1.070   0.943   1.009
   484.0   1.070   0.947   1.013
   491.0   1.070   0.951   1.017
   498.0   1.070   0.955   1.022
   505.0   1.070   0.959   1.026
   512.0   1.070   0.962   1.030
   519.0   1.070   0.966   1.034
   526.0   1.070   0.970   1.038
   533.0   1.070   0.974   1.042
   540.0   1.070   0.978   1.046
   547.0   1.070   0.982   1.050
   554.0   1.070   0.986   1.055
   561.0   1.070   0.989   1.059
   568.0   1.070   0.990   1.060
   575.0   1.070   0.991   1.060
   582.0   1.070   0.991   1.060
   589.0   1.070   0.991   1.061
   596.0   1.070   0.992   1.061
   603.0   1.070   0.992   1.061
   610.0   1.069   0.992   1.061
   617.0   1.068   0.993   1.060
   624.0   1.068   0.993   1.060
   631.0   1.067   0.993   1.060
   638.0   1.066   0.994   1.059
   645.0   1.066   0.994   1.059
   652.0   1.065   0.994   1.059
   659.0   1.064   0.994   1.058
   666.0   1.063   0.995   1.058
   673.0   1.063   0.995   1.058
   680.0   1.062   0.995   1.057
   687.0   1.061   0.996   1.057
   694.0   1.061   0.996   1.056
   701.0   1.060   0.996   1.056
   708.0   1.059   0.997   1.056
   715.0   1.059   0.997   1.055
   722.0   1.058   0.997   1.055
   729.0   1.057   0.998   1.055
   736.0   1.056   0.998   1.054
   743.0   1.056   0.998   1.054
   750.0   1.055   0.999   1.054
   757.0   1.054   0.999   1.053
   764.0   1.054   0.999   1.053
   771.0   1.053   1.000   1.053
   778.0   1.052   1.000   1.052
   785.0   1.051   1.000   1.051
   792.0   1.051   1.000   1.051
   799.0   1.050   1.000   1.050
   806.0   1.049   1.000   1.049
   813.0   1.049   1.000   1.049
   820.0   1.048   1.000   1.048
   827.0   1.047   1.000   1.047
   834.0   1.047   1.000   1.047
   841.0   1.046   1.000   1.046
   848.0   1.045   1.000   1.045
   855.0   1.044   1.000   1.044
   862.0   1.044   1.000   1.044
   869.0   1.043   1.000   1.043
   876.0   1.042   1.000   1.042
   883.0   1.042   1.000   1.042
   890.0   1.041   1.000   1.041
   897.0   1.040   1.000   1.040
   904.0   1.040   1.000   1.040
   911.0   1.039   1.000   1.039
   918.0   1.038   1.000   1.038
   925.0   1.037   1.000   1.037
   932.0   1.037   1.000   1.037
   939.0   1.036   1.000   1.036
   946.0   1.035   1.000   1.035
   953.0   1.035   1.000   1.035
   960.0   1.034   1.000   1.034
   967.0   1.033   1.000   1.033
   974.0   1.033   1.000   1.033
   981.0   1.032   1.000   1.032
   988.0   1.031   1.000   1.031
   995.0   1.030   1.000   1.030
  1002.0   1.030   1.000   1.030
