Response function created for file:raw_76Ge at 09-Jul-14 10:29:37
Calibration (a0,a1)=     1.0    7.000  FWHM=    6.0

 Egam(keV) FWHM(keV) EffTot  Photo  Compton Single  Double   Annih
   855.0   0.903   1.000   0.903
   862.0   0.905   1.000   0.905
   869.0   0.907   1.000   0.907
   876.0   0.909   1.000   0.909
   883.0   0.911   1.000   0.911
   890.0   0.913   1.000   0.913
   897.0   0.915   1.000   0.915
   904.0   0.917   1.000   0.917
   911.0   0.919   1.000   0.919
   918.0   0.921   1.000   0.921
   925.0   0.923   1.000   0.923
   932.0   0.925   1.000   0.925
   939.0   0.927   1.000   0.927
   946.0   0.929   1.000   0.929
   953.0   0.931   1.000   0.931
   960.0   0.933   1.000   0.933
   967.0   0.935   1.000   0.935
   974.0   0.937   1.000   0.937
   981.0   0.939   1.000   0.939
   988.0   0.942   1.000   0.942
   995.0   0.944   1.000   0.944
  1002.0   0.945   1.000   0.945
